時刻,断面交通量
2017-01-01,13166
2017-01-08,121297
2017-01-15,130581
2017-01-22,132610
2017-01-29,133467
2017-02-05,131611
2017-02-12,132699
2017-02-19,134316
2017-02-26,136051
2017-03-05,135414
2017-03-12,135745
2017-03-19,138362
2017-03-26,133639
2017-04-02,135424
2017-04-09,130537
2017-04-16,132547
2017-04-23,132289
2017-04-30,133445
2017-05-07,119927
2017-05-14,133948
2017-05-21,132095
2017-05-28,134832
2017-06-04,133565
2017-06-11,133637
2017-06-18,133789
2017-06-25,136167
2017-07-02,135062
2017-07-09,137014
2017-07-16,134953
2017-07-23,133766
2017-07-30,138673
2017-08-06,136361
2017-08-13,128792
2017-08-20,122471
2017-08-27,134949
2017-09-03,133394
2017-09-10,133231
2017-09-17,132857
2017-09-24,131479
2017-10-01,137081
2017-10-08,134038
2017-10-15,127854
2017-10-22,128459
2017-10-29,129641
2017-11-05,129234
2017-11-12,132182
2017-11-19,132266
2017-11-26,130237
2017-12-03,136689
2017-12-10,135901
2017-12-17,138305
2017-12-24,139494
2017-12-31,127397
2018-01-07,113259
2018-01-14,127800
2018-01-21,129627
2018-01-28,132962
2018-02-04,131433
2018-02-11,132162
2018-02-18,32672
2018-02-25,56643
2018-03-04,131809
2018-03-11,132180
2018-03-18,134986
2018-03-25,132484
2018-04-01,132986
2018-04-08,128251
2018-04-15,129312
2018-04-22,130910
2018-04-29,133402
2018-05-06,115305
2018-05-13,129959
2018-05-20,130647
2018-05-27,129954
2018-06-03,130123
2018-06-10,130672
2018-06-17,131714
2018-06-24,132110
2018-07-01,134471
2018-07-08,134402
2018-07-15,136224
2018-07-22,132581
2018-07-29,132653
2018-08-05,134794
2018-08-12,131463
2018-08-19,117202
2018-08-26,131767
2018-09-02,130744
2018-09-09,131695
2018-09-16,136045
2018-09-23,133505
2018-09-30,129470
2018-10-07,134269
2018-10-14,125220
2018-10-21,131425
2018-10-28,131615
2018-11-04,132052
2018-11-11,129810
2018-11-18,133934
2018-11-25,130696
2018-12-02,129952
2018-12-09,132955
2018-12-16,137204
2018-12-23,137912
2018-12-30,128732
2019-01-06,12780
